"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 25 23:06:28 MSK 2025","Tue Mar 25 23:06:29 MSK 2025","1067","","users.CreateUserTest","","users.CreateUserTest","createUniqueUserTest","Создание уникального пользователя",""
"passed","Tue Mar 25 23:06:29 MSK 2025","Tue Mar 25 23:06:31 MSK 2025","1337","","users.LoginUserTest","","users.LoginUserTest","loginExistingUserTest","Логин под существующим пользователем",""
"passed","Tue Mar 25 23:06:31 MSK 2025","Tue Mar 25 23:06:31 MSK 2025","264","","users.LoginUserTest","","users.LoginUserTest","loginWithIncorrectLoginAndPasswordTest","Логин с неверным логином и паролем",""
"passed","Tue Mar 25 23:06:27 MSK 2025","Tue Mar 25 23:06:28 MSK 2025","1331","","users.CreateUserTest","","users.CreateUserTest","createExistingUserTest","Создание уже зарегистрированного пользователя",""
"passed","Tue Mar 25 23:06:17 MSK 2025","Tue Mar 25 23:06:21 MSK 2025","3828","","orders.CreateOrderTest","","orders.CreateOrderTest","createOrderWithAuthAndValidIngredientsTest","Создание заказа с авторизацией и валидными ингредиентами",""
"passed","Tue Mar 25 23:06:27 MSK 2025","Tue Mar 25 23:06:27 MSK 2025","263","","users.CreateUserParameterizedTest","","users.CreateUserParameterizedTest","createUserWithoutRequiredFieldsTest[Пропущенное поле: Отсутствует name]","Создание пользователя с отсутствующим параметром",""
"passed","Tue Mar 25 23:06:11 MSK 2025","Tue Mar 25 23:06:14 MSK 2025","3359","","orders.CreateOrderTest","","orders.CreateOrderTest","createOrderWithNoIngredientsTest","Создание заказа без ингредиентов",""
"passed","Tue Mar 25 23:06:25 MSK 2025","Tue Mar 25 23:06:25 MSK 2025","262","","users.CreateUserParameterizedTest","","users.CreateUserParameterizedTest","createUserWithoutRequiredFieldsTest[Пропущенное поле: Отсутствует email]","Создание пользователя с отсутствующим параметром",""
"passed","Tue Mar 25 23:06:16 MSK 2025","Tue Mar 25 23:06:17 MSK 2025","1300","","orders.CreateOrderTest","","orders.CreateOrderTest","createOrderWithoutAuthTest","Создание заказа без авторизации",""
"passed","Tue Mar 25 23:06:23 MSK 2025","Tue Mar 25 23:06:25 MSK 2025","1894","","orders.GetUserOrdersTest","","orders.GetUserOrdersTest","getOrdersUnauthorizedTest","Получение заказов без авторизации",""
"passed","Tue Mar 25 23:06:32 MSK 2025","Tue Mar 25 23:06:35 MSK 2025","2669","","users.UpdateUserTest","","users.UpdateUserTest","updateUserInfoWithoutLoginTest","updateUserInfoWithoutLoginTest",""
"passed","Tue Mar 25 23:06:31 MSK 2025","Tue Mar 25 23:06:32 MSK 2025","1647","","users.UpdateUserTest","","users.UpdateUserTest","updateUserInfoWithLoginTest","updateUserInfoWithLoginTest",""
"passed","Tue Mar 25 23:06:21 MSK 2025","Tue Mar 25 23:06:23 MSK 2025","2165","","orders.GetUserOrdersTest","","orders.GetUserOrdersTest","getOrdersAuthorizedTest","Получение заказов авторизованным пользователем",""
"passed","Tue Mar 25 23:06:14 MSK 2025","Tue Mar 25 23:06:16 MSK 2025","1340","","orders.CreateOrderTest","","orders.CreateOrderTest","createOrderWithInvalidIngredientTest","Создание заказа с невалидным хешем ингредиента",""
"passed","Tue Mar 25 23:06:25 MSK 2025","Tue Mar 25 23:06:27 MSK 2025","1269","","users.CreateUserParameterizedTest","","users.CreateUserParameterizedTest","createUserWithoutRequiredFieldsTest[Пропущенное поле: Отсутствует password]","Создание пользователя с отсутствующим параметром",""
